"max_Re_eigen_jacobian","alpha_H","alpha_L","trait_matching","n_spe_H_val","n_spe_L_val","num_persistent_species","simulation_converged","trait_quartile"
-0.0595858129305551,3.16864314721897,1.98495620395988,0.396844197134487,50,49,92,TRUE,"Trait matching (Q2)"
-0.0543500752725094,4.30269968463108,0.181474233977497,0.56085231237812,17,26,43,TRUE,"Trait matching (Q3)"
-0.0654639333477198,2.15282121556811,2.13172380928881,0.982735713187139,35,33,67,TRUE,"Trait matching (Q4)"
-0.0464669814541435,3.04476477205753,2.38321199081838,0.415439266467001,27,32,58,TRUE,"Trait matching (Q2)"
-0.0542907821245319,4.62746269884519,0.750373317860067,0.617126782727428,15,33,45,TRUE,"Trait matching (Q3)"
-0.0484850174810322,4.66603224049322,4.02145469677635,0.0577682416653261,33,33,59,TRUE,"Trait matching (Q1)"
-0.0659309243904602,3.51924542454071,2.33553616446443,0.777704805170652,34,29,56,TRUE,"Trait matching (Q4)"
-0.0101326067900258,0.941026648506522,1.63946854765527,0.569021877134219,22,38,60,TRUE,"Trait matching (Q3)"
-0.0753664954952935,4.06724088825285,3.50726591423154,0.170434356410988,16,14,26,TRUE,"Trait matching (Q1)"
-0.0526616815897479,0.416006107116118,4.34609380434267,0.430195493041538,39,35,71,TRUE,"Trait matching (Q2)"
-0.166376438412854,2.31403064797632,3.14805328496732,0.912428515672218,42,13,42,TRUE,"Trait matching (Q4)"
-0.136144186038167,0.804656397085637,2.98958716797642,0.916534612607211,49,20,51,TRUE,"Trait matching (Q4)"
-0.129901604451968,0.460864179767668,2.51574754249305,0.0577606075443327,43,14,43,TRUE,"Trait matching (Q1)"
-0.0634510179989222,2.3796876729466,3.09885741444305,0.546717929793522,33,31,62,TRUE,"Trait matching (Q3)"
-0.0561777849971573,4.50130709097721,3.92080161487684,0.958282929332927,16,18,33,TRUE,"Trait matching (Q4)"
-0.0479383852977993,1.89694853848778,1.90602762275375,0.852716500218958,18,28,46,TRUE,"Trait matching (Q4)"
-0.0628132517960906,0.539480680599809,1.9036204344593,0.724374988966156,24,26,49,TRUE,"Trait matching (Q3)"
-0.0604348579516255,1.47726739873178,0.156715881312266,0.654900106834248,31,30,59,TRUE,"Trait matching (Q3)"
-0.0274005044631504,3.52019691723399,2.34786284388974,0.497360773326363,44,48,80,TRUE,"Trait matching (Q2)"
-0.141294181405011,2.29185330448672,0.374511044938117,0.142956082639284,47,23,60,TRUE,"Trait matching (Q1)"
-0.0566260521224384,1.9444390584249,0.114562312373891,0.525118648714852,10,32,42,TRUE,"Trait matching (Q2)"
-0.0127019300475799,1.48658021003939,4.90784579189494,0.756228890770581,25,43,68,TRUE,"Trait matching (Q3)"
-0.039701292370175,2.12270860443823,4.12861183984205,0.689501121663488,31,37,68,TRUE,"Trait matching (Q3)"
-0.12642861640566,4.925408604322,3.99254062213004,0.169550319493283,48,14,52,TRUE,"Trait matching (Q1)"
-0.149845217580322,1.70533206197433,2.63480470399372,0.637086166848894,36,24,47,TRUE,"Trait matching (Q3)"
-0.0604440033363172,1.97485656361096,2.70877230796032,0.439515052724164,40,47,87,TRUE,"Trait matching (Q2)"
-0.143211304200101,4.37536652782001,3.63233505981043,0.39767272642348,29,17,37,TRUE,"Trait matching (Q2)"
-0.147645411356812,4.71734765451401,3.65468415780924,0.884441510261968,30,14,34,TRUE,"Trait matching (Q4)"
-0.0401868536356796,3.75463564647362,2.22947086091153,0.813889491127338,14,24,38,TRUE,"Trait matching (Q4)"
-0.0396119913232418,0.827031651278958,0.762820782838389,0.932550677284598,21,28,48,TRUE,"Trait matching (Q4)"
-0.0743421046070631,3.36348639801145,1.20815612375736,0.796923737949692,22,22,43,TRUE,"Trait matching (Q4)"
-0.0631766943382338,4.46888608857989,0.149431687314063,0.226761753112078,18,19,35,TRUE,"Trait matching (Q1)"
-0.118872081602625,4.50484127737582,0.0344520749058574,0.624618330970407,39,12,41,TRUE,"Trait matching (Q3)"
-0.00078888075624381,0.333856998477131,0.765260234475136,0.682293694152031,18,35,53,TRUE,"Trait matching (Q3)"
-0.0380694618312416,2.08831086289138,2.82130128471181,0.343877064273693,15,22,36,TRUE,"Trait matching (Q2)"
-0.0507654255346521,1.90496210474521,4.24209057702683,0.823592199897394,35,43,78,TRUE,"Trait matching (Q4)"
-0.0472380833419038,1.76982175675221,1.16556407418102,0.977552336803637,15,22,37,TRUE,"Trait matching (Q4)"
